№	Код параметра	Наименование параметра настройки	Тип	Значение	Наименование модуля	№ модуля
337	A2UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	1.6	TO3VAL - модель размножения вещественного сигнала	543 MODEL
338	A2UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	1.6	TO3VAL - модель размножения вещественного сигнала	543 MODEL
339	TERB2SP01RIM  (ЭСППЗУ)	Искажение: Текущее давление СБРОС РБ2	Цел.	0	TO3VAL - модель размножения вещественного сигнала	543 MODEL
340	TERB1VP81LIM  (ЭСППЗУ)	Искажение: Текущее давление СБРОС ББ2  в норме	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	545 MODEL
341	TERA2VP82LIM  (ЭСППЗУ)	Искажение: Текущее давление на подъём РБ  в норме	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	546 MODEL
342	A2UP04RDU  (ЭСППЗУ)	Нижний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	0	TOAO - Преобразование в код Fas4	547 MODEL
343	A2UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	1.6	TOAO - Преобразование в код Fas4	547 MODEL
344	A2UP04RDU  (ЭСППЗУ)	Нижний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	0	TOAO - Преобразование в код Fas4	548 MODEL
345	A2UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	1.6	TOAO - Преобразование в код Fas4	548 MODEL
346	A2UP04RDU  (ЭСППЗУ)	Нижний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	0	TOAO - Преобразование в код Fas4	549 MODEL
347	A2UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	1.6	TOAO - Преобразование в код Fas4	549 MODEL
348	A2UP04RDU  (ЭСППЗУ)	Нижний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	0	TOAO - Преобразование в код Fas4	550 MODEL
349	A2UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	1.6	TOAO - Преобразование в код Fas4	550 MODEL
350	TERA0VP81LIM  (ЭСППЗУ)	Искажение: Давление  АЗ1  в норме	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	561 MODEL
351	TERB0VP81LIM  (ЭСППЗУ)	Искажение: Давление  АЗ2 в норме	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	562 MODEL
352	TERA3VP81LIM  (ЭСППЗУ)	Искажение: Текущее давление СПУСК ИС  в норме	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	563 MODEL
353	TERR0VP81LIM  (ЭСППЗУ)	Искажение: Давление  в СИСТЕМЕ-1 в норме	Цел.	0	Константа ЭСППЗУ	566 MODEL
354	A5MC01RC1  (ЭСППЗУ)	Заданная координата НЛ1 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	577 MODEL
355	A5MV01RC1  (ЭСППЗУ)	Заданная скорость НЛ1 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	577 MODEL
356	TERNL1  (ЭСППЗУ)	Неисправности НЛ1	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	577 MODEL
357	A5UC10RIM  (ЭСППЗУ)	Время полного хода НЛ сек	Вещ.	5.0	ASMOT - Модель перемещения механизма с шаговым двигателем	577 MODEL
358	A5MC01RSP  (ЭСППЗУ)	Стартовая координата НЛ1	Вещ.	5	ASMOT - Модель перемещения механизма с шаговым двигателем	577 MODEL
359	A5MV01RSP  (ЭСППЗУ)	Стартовая скорость НЛ1	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	577 MODEL
360	B5MC01RC1  (ЭСППЗУ)	Заданная координата НЛ2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	592 MODEL
361	B5MV01RC1  (ЭСППЗУ)	Заданная скорость НЛ2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	592 MODEL
362	TERNL2  (ЭСППЗУ)	Неисправности НЛ2	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	592 MODEL
363	A5UC10RIM  (ЭСППЗУ)	Время полного хода НЛ сек	Вещ.	5.0	ASMOT - Модель перемещения механизма с шаговым двигателем	592 MODEL
364	B5MC01RSP  (ЭСППЗУ)	Стартовая координата НЛ2	Вещ.	5	ASMOT - Модель перемещения механизма с шаговым двигателем	592 MODEL
365	B5MV01RSP  (ЭСППЗУ)	Стартовая скорость НЛ2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	592 MODEL
366	A9UL10RIM  (ЭСППЗУ)	Время полного перемещения НИ ДС1/ДС2 сек	Вещ.	15.0	ASMOT - Модель перемещения механизма с шаговым двигателем	605 MODEL
367	B9MC01RSP  (ЭСППЗУ)	Стартовая координата НИ ДС2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	605 MODEL
368	B9MV01RSP  (ЭСППЗУ)	Стартовая скорость НИ ДС2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	605 MODEL
369	A9UL10RIM  (ЭСППЗУ)	Время полного перемещения НИ ДС1/ДС2 сек	Вещ.	15.0	ASMOT - Модель перемещения механизма с шаговым двигателем	606 MODEL
370	A9MC01RSP  (ЭСППЗУ)	Стартовая координата НИ ДС1	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	606 MODEL
371	A9MV01RSP  (ЭСППЗУ)	Стартовая скорость НИ ДС1	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	606 MODEL
372	A4UL10RIM  (ЭСППЗУ)	Время полного перемещения НИ сек	Вещ.	5.0	ASMOT - Модель перемещения механизма с шаговым двигателем	620 MODEL
373	B4MC01RSP  (ЭСППЗУ)	Стартовая координата НИ2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	620 MODEL
374	B4MV01RSP  (ЭСППЗУ)	Стартовая скорость НИ2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	620 MODEL
375	A4UL10RIM  (ЭСППЗУ)	Время полного перемещения НИ сек	Вещ.	5.0	ASMOT - Модель перемещения механизма с шаговым двигателем	623 MODEL
376	A4MC01RSP  (ЭСППЗУ)	Стартовая координата НИ1	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	623 MODEL
377	A4MV01RSP  (ЭСППЗУ)	Стартовая скорость НИ1	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	623 MODEL
378	R7UI71RIM  (ЭСППЗУ)	Уровень мощности срабатывания АС IУР  ватт (датчик 1)	Вещ.	18000	BOL - Логический модуль "Больше"	630 MODEL
379	R7UI77RIM  (ЭСППЗУ)	Время задержки  срабатывания АС 1 УР при имитации сигнала сек	Вещ.	0.05	ZPFS - Задержка переднего фронта сек	632 MODEL
380	R7UI72RIM  (ЭСППЗУ)	Уровень мощности срабатывания АС IУР  ватт (датчик 2)	Вещ.	18000	BOL - Логический модуль "Больше"	636 MODEL
381	C1AD31LRP  (ЭСППЗУ)	Общий сброс от РПУ	Лог.	0	ORN - Модуль 'Логический элемент ИЛИ'	641 MODEL
382	R7UI76RIM  (ЭСППЗУ)	Время задержки  срабатывания АС II УР при имитации сигнала сек	Вещ.	0.045	ZPFS - Задержка переднего фронта сек	644 MODEL
383	R7UI73RIM  (ЭСППЗУ)	Уровень мощности срабатывания АС II УР  ватт	Вещ.	18000	BOL - Логический модуль "Больше"	646 MODEL
384	R7UI02RIM  (ЭСППЗУ)	Коэффициент усиления уровня радиации	Вещ.	1.0	MOD1 - Модуль 'Апериодическое звено первого порядка'	652 MODEL
385	R7UL01RIM  (ЭСППЗУ)	Постоянная времени изменения уровня радиации в зале	Вещ.	2.0	MOD1 - Модуль 'Апериодическое звено первого порядка'	652 MODEL
386	R7UI75RIM  (ЭСППЗУ)	Множитель к уровню радиации	Вещ.	100.0	AMPL - Модуль 'Усилитель', умножение вещественного параметра на коэффициент	657 MODEL
387	R7UI74RIM  (ЭСППЗУ)	Верхняя граница измерения уровня радиации в зале	Вещ.	10000.0	TO3VAL - модель размножения вещественного сигнала	658 MODEL
388	R7UI74RIM  (ЭСППЗУ)	Верхняя граница измерения уровня радиации в зале	Вещ.	10000.0	TO3VAL - модель размножения вещественного сигнала	658 MODEL
389	TERR7SI74RIM  (ЭСППЗУ)	Искажение: Радиация в реакторном зале	Цел.	0	TO3VAL - модель размножения вещественного сигнала	658 MODEL
390	TERR6IS62LIM  (ЭСППЗУ)	Искажение Исправность ВИП ССДИ-39	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	666 MODEL
391	TERR6IS66LIM  (ЭСППЗУ)	Искажение Исправность ВИП 4,0 (№5) ССДИ-1-1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	667 MODEL
392	TERA6VS12LIM  (ЭСППЗУ)	Искажение: Движение створок БЗ1 к ОТКРЫТА	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	668 MODEL
393	TERA6VS22LIM  (ЭСППЗУ)	Искажение: Движение створок БЗ1 к ЗАКРЫТА	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	669 MODEL
394	TERA5VS12LIM  (ЭСППЗУ)	Искажение: Движение створок НЛ1 к ВУ	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	670 MODEL
395	TERA5VS22LIM  (ЭСППЗУ)	Искажение: Движение створок НЛ1 к НУ	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	671 MODEL
396	TERR6IS64LIM  (ЭСППЗУ)	Искажение: Исправность ВИП ССДИ-35	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	686 MODEL
397	TERR6IS67LIM  (ЭСППЗУ)	Искажение Исправность ВИП 4,0 (№6) ССДИ-1-2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	687 MODEL
398	TERB6VS12LIM  (ЭСППЗУ)	Искажение: Движение створок БЗ2 к ОТКРЫТА	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	690 MODEL
399	TERB6VS22LIM  (ЭСППЗУ)	Искажение: Движение створок БЗ2 к ЗАКРЫТА	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	691 MODEL
400	TERB5VS12LIM  (ЭСППЗУ)	Искажение: Движение створок НЛ2 к ВУ	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	692 MODEL
401	TERB5VS22LIM  (ЭСППЗУ)	Искажение: Движение створок НЛ2 к НУ	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	693 MODEL
402	TERR6IS68LIM  (ЭСППЗУ)	Искажение Исправность ВИП 4,0 (№7) ССДИ-2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	703 MODEL
403	TERA5SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ НЛ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	704 MODEL
404	TERA5SS11LIM  (ЭСППЗУ)	Искажение: Движенеие створок БЗ1 к ОТКРЫТА	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	705 MODEL
405	TERB5SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ НЛ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	706 MODEL
406	TERB5SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ НЛ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	707 MODEL
407	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	719 MODEL
408	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	719 MODEL
409	R7UX01RSS  (ЭСППЗУ)	X-координата камеры R7IN11	Вещ.	1585.0	VCHS - Модель ионизационной камеры	719 MODEL
410	R7UY01RSS  (ЭСППЗУ)	Y-координата камеры R7IN11	Вещ.	248.0	VCHS - Модель ионизационной камеры	719 MODEL
411	A0UX01RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 1	Вещ.	1.0	VCHS - Модель ионизационной камеры	719 MODEL
412	B0UX01RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 1	Вещ.	0	VCHS - Модель ионизационной камеры	719 MODEL
413	R0UH01RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  СНМ11	Вещ.	2	VCHS - Модель ионизационной камеры	719 MODEL
414	R0UH21RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) СНМ-11	Вещ.	4000	VCHS - Модель ионизационной камеры	719 MODEL
415	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	719 MODEL
416	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	729 MODEL
417	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	729 MODEL
418	R7UX02RSS  (ЭСППЗУ)	X-координата камеры R7IN12 (см)	Вещ.	1796.0	VCHS - Модель ионизационной камеры	729 MODEL
419	R7UY02RSS  (ЭСППЗУ)	Y-координата камеры R7IN12 (см)	Вещ.	284.5	VCHS - Модель ионизационной камеры	729 MODEL
420	A0UX02RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 2	Вещ.	1.0	VCHS - Модель ионизационной камеры	729 MODEL
421	B0UX02RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 2	Вещ.	0	VCHS - Модель ионизационной камеры	729 MODEL
422	R0UH02RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК15-1	Вещ.	3703.704	VCHS - Модель ионизационной камеры	729 MODEL
423	R0UH22RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-15-1	Вещ.	100000	VCHS - Модель ионизационной камеры	729 MODEL
424	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	729 MODEL
425	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	738 MODEL
426	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	738 MODEL
427	R7UC10RIM  (ЭСППЗУ)	X-координата КНК53М R7IN13 см	Вещ.	1269.0	VCHS - Модель ионизационной камеры	738 MODEL
428	R7UC19RIM  (ЭСППЗУ)	Y-координата СНМ-11 (11) см	Вещ.	256.0	VCHS - Модель ионизационной камеры	738 MODEL
429	A0UX03RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 3	Вещ.	1.0	VCHS - Модель ионизационной камеры	738 MODEL
430	B0UX03RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 3	Вещ.	0	VCHS - Модель ионизационной камеры	738 MODEL
431	R0UH03RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК53М	Вещ.	62500.0	VCHS - Модель ионизационной камеры	738 MODEL
432	R0UH23RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-53М	Вещ.	1000000	VCHS - Модель ионизационной камеры	738 MODEL
433	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	738 MODEL
434	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	747 MODEL
435	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	747 MODEL
436	R7UX04RSS  (ЭСППЗУ)	X-координата камеры R7IN21 (см)	Вещ.	1555.0	VCHS - Модель ионизационной камеры	747 MODEL
437	R7UY04RSS  (ЭСППЗУ)	Y-координата камеры R7IN21 (см)	Вещ.	248.0	VCHS - Модель ионизационной камеры	747 MODEL
438	A0UX04RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры4	Вещ.	1.0	VCHS - Модель ионизационной камеры	747 MODEL
439	B0UX04RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 4	Вещ.	0	VCHS - Модель ионизационной камеры	747 MODEL
440	R0UH01RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  СНМ11	Вещ.	2	VCHS - Модель ионизационной камеры	747 MODEL
441	R0UH21RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) СНМ-11	Вещ.	4000	VCHS - Модель ионизационной камеры	747 MODEL
442	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	747 MODEL
443	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	755 MODEL
444	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	755 MODEL
445	R7UX05RSS  (ЭСППЗУ)	X-координата камеры R7IN22 (см)	Вещ.	1269.0	VCHS - Модель ионизационной камеры	755 MODEL
446	R7UY05RSS  (ЭСППЗУ)	Y-координата камеры R7IN22 (см)	Вещ.	271.6	VCHS - Модель ионизационной камеры	755 MODEL
447	A0UX05RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 5	Вещ.	1.0	VCHS - Модель ионизационной камеры	755 MODEL
448	B0UX05RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 5	Вещ.	0.0	VCHS - Модель ионизационной камеры	755 MODEL
449	R0UH02RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК15-1	Вещ.	3703.704	VCHS - Модель ионизационной камеры	755 MODEL
450	R0UH22RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-15-1	Вещ.	100000	VCHS - Модель ионизационной камеры	755 MODEL
451	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	755 MODEL
452	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	764 MODEL
453	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	764 MODEL
454	R7UX06RSS  (ЭСППЗУ)	X-координата камеры R7IN23 (см)	Вещ.	1269.0	VCHS - Модель ионизационной камеры	764 MODEL
455	R7UY06RSS  (ЭСППЗУ)	Y-координата камеры R7IN23 (см)	Вещ.	287.2	VCHS - Модель ионизационной камеры	764 MODEL
456	A0UX06RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 6	Вещ.	1.0	VCHS - Модель ионизационной камеры	764 MODEL
457	B0UX06RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 6	Вещ.	0	VCHS - Модель ионизационной камеры	764 MODEL
458	R0UH03RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК53М	Вещ.	62500.0	VCHS - Модель ионизационной камеры	764 MODEL
459	R0UH23RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-53М	Вещ.	1000000	VCHS - Модель ионизационной камеры	764 MODEL
460	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	764 MODEL
461	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	773 MODEL
462	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	773 MODEL
463	R7UX07RSS  (ЭСППЗУ)	X-координата камеры R7IN31 (см)	Вещ.	1585.0	VCHS - Модель ионизационной камеры	773 MODEL
464	R7UY07RSS  (ЭСППЗУ)	Y-координата камеры R7IN31 (см)	Вещ.	594.0	VCHS - Модель ионизационной камеры	773 MODEL
465	A0UX07RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 7	Вещ.	1.0	VCHS - Модель ионизационной камеры	773 MODEL
466	B0UX07RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 7	Вещ.	0.0	VCHS - Модель ионизационной камеры	773 MODEL
467	R0UH01RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  СНМ11	Вещ.	2	VCHS - Модель ионизационной камеры	773 MODEL
468	R0UH21RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) СНМ-11	Вещ.	4000	VCHS - Модель ионизационной камеры	773 MODEL
469	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	773 MODEL
470	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	781 MODEL
471	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	781 MODEL
472	R7UX08RSS  (ЭСППЗУ)	X-координата камеры R7IN32 (см)	Вещ.	1796.0	VCHS - Модель ионизационной камеры	781 MODEL
473	R7UY08RSS  (ЭСППЗУ)	Y-координата камеры R7IN32 (см)	Вещ.	559.0	VCHS - Модель ионизационной камеры	781 MODEL
474	A0UX08RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 8	Вещ.	1.0	VCHS - Модель ионизационной камеры	781 MODEL
475	B0UX08RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 8	Вещ.	0	VCHS - Модель ионизационной камеры	781 MODEL
476	R0UH02RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК15-1	Вещ.	3703.704	VCHS - Модель ионизационной камеры	781 MODEL
477	R0UH22RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-15-1	Вещ.	100000	VCHS - Модель ионизационной камеры	781 MODEL
478	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	781 MODEL
479	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	790 MODEL
480	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	790 MODEL
481	R7UX09RSS  (ЭСППЗУ)	X-координата камеры R7IN33 (см)	Вещ.	1269.0	VCHS - Модель ионизационной камеры	790 MODEL
482	R7UY09RSS  (ЭСППЗУ)	Y-координата камеры R7IN33 (см)	Вещ.	588.0	VCHS - Модель ионизационной камеры	790 MODEL
483	A0UX09RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 9	Вещ.	1.0	VCHS - Модель ионизационной камеры	790 MODEL
484	B0UX09RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 9	Вещ.	0.0	VCHS - Модель ионизационной камеры	790 MODEL
485	R0UH03RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК53М	Вещ.	62500.0	VCHS - Модель ионизационной камеры	790 MODEL
486	R0UH23RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-53М	Вещ.	1000000	VCHS - Модель ионизационной камеры	790 MODEL
487	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	790 MODEL
488	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	799 MODEL
489	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	799 MODEL
490	R7UX10RSS  (ЭСППЗУ)	X-координата камеры R7IN41	Вещ.	1555.0	VCHS - Модель ионизационной камеры	799 MODEL
491	R7UY10RSS  (ЭСППЗУ)	Y-координата камеры R7IN41	Вещ.	594.0	VCHS - Модель ионизационной камеры	799 MODEL
492	A0UX10RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 10	Вещ.	1.0	VCHS - Модель ионизационной камеры	799 MODEL
493	B0UX10RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 10	Вещ.	0.0	VCHS - Модель ионизационной камеры	799 MODEL
494	R0UH01RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  СНМ11	Вещ.	2	VCHS - Модель ионизационной камеры	799 MODEL
495	R0UH21RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) СНМ-11	Вещ.	4000	VCHS - Модель ионизационной камеры	799 MODEL
496	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	799 MODEL
497	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	807 MODEL
498	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	807 MODEL
499	R7UX11RSS  (ЭСППЗУ)	X-координата камеры R7IN42	Вещ.	1281.2	VCHS - Модель ионизационной камеры	807 MODEL
500	R7UY11RSS  (ЭСППЗУ)	Y-координата камеры R7IN42	Вещ.	597.2	VCHS - Модель ионизационной камеры	807 MODEL
501	A0UX11RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 11	Вещ.	1.0	VCHS - Модель ионизационной камеры	807 MODEL
502	B0UX11RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 11	Вещ.	0.0	VCHS - Модель ионизационной камеры	807 MODEL
503	R0UH02RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК15-1	Вещ.	3703.704	VCHS - Модель ионизационной камеры	807 MODEL
504	R0UH22RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-15-1	Вещ.	100000	VCHS - Модель ионизационной камеры	807 MODEL
505	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	807 MODEL
506	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	816 MODEL
507	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	VCHS - Модель ионизационной камеры	816 MODEL
508	R7UX12RSS  (ЭСППЗУ)	X-координата камеры R7IN43	Вещ.	1269.0	VCHS - Модель ионизационной камеры	816 MODEL
509	R7UY12RSS  (ЭСППЗУ)	Y-координата камеры R7IN43	Вещ.	556.8	VCHS - Модель ионизационной камеры	816 MODEL
510	A0UX12RSS  (ЭСППЗУ)	Первый коэффициент калибровки камеры 12	Вещ.	1.0	VCHS - Модель ионизационной камеры	816 MODEL
511	B0UX12RSS  (ЭСППЗУ)	Второй коэффициент калибровки камеры 12	Вещ.	0.0	VCHS - Модель ионизационной камеры	816 MODEL
512	R0UH03RSS  (ЭСППЗУ)	Коэфф. преобразования частота->нейтр/с  КНК53М	Вещ.	62500.0	VCHS - Модель ионизационной камеры	816 MODEL
513	R0UH23RSS  (ЭСППЗУ)	Верхняя граница измерения частоты импульсов(имп/с) КНК-53М	Вещ.	1000000	VCHS - Модель ионизационной камеры	816 MODEL
514	A0UX00RSS  (ЭСППЗУ)	Эффективный радиус АЗ	Вещ.	11.0	VCHS - Модель ионизационной камеры	816 MODEL
515	TERR4SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ тележки	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	828 MODEL
